Tag,allmale,allfemale,mixed,allUnknown,UnknownMale,UnknownFemale,maleUnknown,femaleUnknown,singleMale,singleFemale,singleUnknown,sum
OpenScience,190,73,169,43,43,21,56,29,146,72,37,879
Reproducibility,419,80,326,345,200,66,165,104,194,76,72,2047
