AuthorNames,FoSNames,Year,DocType,DisplayName,Doi,OriginalTitle
R. S. Khisamov; O.A. Grishanina; R.R. Abusalimova; A.F. Abdrashitova; S.A. Panina; V.G. Bazarevskaya,reproducibility; petroleum engineering; well logging; environmental science,2017,Journal,Neftyanoe khozyaystvo - Oil Industry,10.24887/0028-2448-2017-6-18-21,Assessment of reproducibility of estimate parameters based on core studies and well logging data for heavy oil reservoirs
de Melo Dg; Travassos Rm; Martins-Filho Pr; Santos Tde S; Cavalcante; Gomes Ac; Silva Hf; Piva Mr; de Araújo Lc; Melo Ar,cone beam computed tomography; intraclass correlation; reproducibility; radiology; tomography; medicine; nuclear medicine; coefficient of variation; observational error; mandibular canal; surgery,2012,Journal,Indian Journal of Dental Research,10.4103/0970-9290.104952,Evaluation of reliability and reproducibility of linear measurements of cone-beam-computed tomography
A. Petrie; P. F. Watson,internal medicine; statistics; biology; reproducibility; endocrinology; categorical variable; sample size determination; repeatability,2010,Journal,Theriogenology,10.1016/j.theriogenology.2010.01.003,Method agreement analysis: A review of correct methodology
Y. Yoo; K. Jeon; D. Jung; J. Lee,rolling resistance; automotive engineering; engineering; reproducibility,2016,Journal,International Journal of Automotive Technology,10.1007/s12239-016-0047-4,Laboratory alignment procedure for improving reproducibility of tyre wet grip measurement
Werner Dubitzky; Daniel Berrar,frequentist inference; statistical hypothesis testing; looming; rigour; political science; reproducibility; synthetic data; machine learning; artificial intelligence; bayesian probability; thought experiment,2017,Conference,NA,NA,On the Jeffreys-Lindley Paradox and the Looming Reproducibility Crisis in Machine Learning
Siamak Sabour,reproducibility; dentistry; orthodontics; medicine,2016,Journal,American Journal of Orthodontics and Dentofacial Orthopedics,10.1016/j.ajodo.2016.06.006,Reproducibility of the lip position at rest.
D Röske,reproducibility; invar; statistics; lever; control engineering; physics; air bearing; measurement uncertainty; metrology; torque,2014,Journal,Metrologia,10.1088/0026-1394/51/1/87,"Metrological characterization of a 1 N m torque standard machine at PTB, Germany"
Andrew P. Davison,reproducibility; computational science; context awareness; theory of computation; scientific method; computation; theoretical computer science; computer science; best practice,2012,Journal,Computing in Science and Engineering,10.1109/MCSE.2012.41,Automated Capture of Experiment Context for Easier Reproducibility in Computational Research
Mark de Silva; Shoba Ranganathan; Kuan Siong Lim; Tin Wee Tan; Joo Chuan Tong; Asif M. Khan,interoperability; software; reproducibility; testbed; cloud computing; persistence; bioinformatics; computer science; data mining; data science; biological data; publication,2010,Journal,BMC Genomics,10.1186/1471-2164-11-S4-S27,"Advancing standards for bioinformatics activities: persistence, reproducibility, disambiguation and Minimum Information About a Bioinformatics investigation (MIABi)"
Eduardo Gonçalves Raupp; Matias Noll; Jefferson Fagundes Loss; Cláudia Tarragô Candotti; Luiza Rampi Pivotto; Emanuelle Francine Detogni Schmit; Adriane Vieira,intraclass correlation; wilcoxon signed rank test; physical therapy; back pain; physical medicine and rehabilitation; content validity; reproducibility; neck pain; activities of daily living; medicine,2017,Journal,Pain Management Nursing,10.1016/j.pmn.2017.10.005,Back Pain and Body Posture Evaluation Instrument for Adults: Expansion and Reproducibility
