AuthorIdsOrder,PaperId,namePart.1,namePart.2,namePart.3,namePart.4,Year2,authorOrder,min_years,max_years,proportion_male.x,proportion_female.x,gender.x,year_max.x,proportion_male.y,proportion_female.y,gender.y,year_max.y,proportion_male,proportion_female,gender,year_max,temp2,temp1,temp0,femaleProb0,femaleProb,genderLabel
2177469843,2332146720,Lauren,M.,Mack,NA,1971,1,1951,1991,0.0107,0.9893,female,1991,NA,NA,NA,NA,0.9972,0.0028,male,1991,NA,NA,0.9893,NA,0.9893,1
2549657587,2320900215,Ma.,Fluorence,Flores,NA,1967,1,1947,1987,NA,NA,NA,NA,NA,NA,NA,NA,1,0,male,1987,NA,NA,NA,NA,NA,NA
174256842,2039783984,Younes,Bayoud,NA,NA,1966,1,1946,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2712155134,2510861830,B.,Hupkens,NA,NA,1970,1,1950,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962050684,2140786112,Simon,Hyttel-Sorensen,NA,NA,1967,1,1947,1987,0.9965,0.0035,male,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035,NA,0.0035,0
2194981815,1965240921,Jose,C.,Hernandez,NA,1965,1,1945,1985,0.9895,0.0105,male,1985,NA,NA,NA,NA,1,0,male,1985,NA,NA,0.0105,NA,0.0105,0
2145295114,2145712245,Miyuki,Omori,NA,NA,1970,1,1950,1990,0,1,female,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1
1993289859,2331626837,Chris,Woolston,NA,NA,1969,1,1949,1989,0.8391,0.1609,male,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1609,NA,0.1609,0
2751659303,2752076851,Robert,B,Petersen,NA,1971,1,1951,1991,0.9953,0.0047,male,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0047,NA,0.0047,0
2100842735,2110088203,Ji,In,Lee,NA,1968,1,1948,1988,0.3266,0.6734,female,1988,0,1,female,1988,0.7333,0.2667,male,1988,NA,1,0.6734,1,0.6734,1
2034529969,2295119862,Fernando,Chirigati,NA,NA,1971,1,1951,1991,0.9907,0.0093,male,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0093,NA,0.0093,0
2111530663,2595479191,M.,Frank,NA,NA,1972,1,1952,1992,NA,NA,NA,NA,0.9946,0.0054,male,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1222240723,1972049877,K,M,Leyland,NA,1966,1,1946,1986,NA,NA,NA,NA,NA,NA,NA,NA,1,0,male,1986,NA,NA,NA,NA,NA,NA
2149521784,1983435184,Hashmat,Popat,NA,NA,1965,1,1945,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2673955840,1996405612,Hee,Eun,Choi,NA,1969,1,1949,1989,0,1,female,1989,0.0226,0.9774,female,1989,NA,NA,NA,NA,NA,0.9774,1,0.9774,1,1
1908212773,2018336192,Colm,McAlinden,NA,NA,1966,1,1946,1986,1,0,male,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
2339563186,2765598377,Ryan,Pathak,NA,NA,1972,1,1952,1992,0.9805,0.0195,male,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0195,NA,0.0195,0
2310199445,2002419035,Gabriel,F.T.,Gomes,NA,1967,1,1947,1987,0.9773,0.0227,male,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0227,NA,0.0227,0
2100697702,1998268567,Anna,Scaglione,NA,NA,1967,1,1947,1987,0.0036,0.9964,female,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9964,NA,0.9964,1
2603050031,2758559523,Ron,S.,Kenett,NA,1972,1,1952,1992,0.9972,0.0028,male,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0028,NA,0.0028,0
2258594755,2562168700,Stephanie,C.,Hicks,NA,1972,1,1952,1992,0.0037,0.9963,female,1992,NA,NA,NA,NA,1,0,male,1992,NA,NA,0.9963,NA,0.9963,1
2585632404,1980865220,Robert,Kaiser,NA,NA,1967,1,1947,1987,0.9956,0.0044,male,1987,1,0,male,1987,NA,NA,NA,NA,NA,NA,0.0044,NA,0.0044,0
2431810988,2132244077,Lucila,Ohno-Machado,NA,NA,1970,1,1950,1990,0,1,female,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1
