Tag,allmale,allfemale,mixed,allUnknown,UnknownMale,UnknownFemale,maleUnknown,femaleUnknown,singleMale,singleFemale,singleUnknown,sum
OpenScience,190,73,170,43,43,21,56,29,146,73,37,881
Reproducibility,420,81,330,348,201,66,167,104,198,77,72,2064
